DI3,DI2,DI1,DI0,数据格式,长度,单位,读,写,数据项名称,数据
5,0,1,1,XXXXXX.XX,4*n,kWh,*,,（上1次）定时冻结正向有功电能数据：,
5,0,2,1,XXXXXX.XX,4*n,kWh,*,,（上1次）定时冻结反向有功电能数据：,
5,0,3,1,XXXXXX.XX,4*n,kvarh,*,,（上1次）定时冻结组合无功1电能数据：,
5,1,0,1,YYMMDDhhmm,5,,*,,(上1次)瞬时冻结时间,
5,7,0,1,YYMMDDhhmm,5,,*,,（上1次）两套阶梯切换时间,
5,7,1,1,XXXXXX.XX,4×n,kWh,*,,（上1次）两套阶梯切换正向有功电能数据：,
